,Latitude (deg),Longitude (deg),Population Estimate
75165,32.3225,-96.7806,45059.0
75173,33.0419,-96.3935,4409.0
75182,32.7945,-96.5568,6325.0
75204,32.8019,-96.7876,30537.0
75216,32.7107,-96.7778,53327.0
75217,32.7009,-96.6860,89163.0
75220,32.8623,-96.8709,42009.0
75224,32.7107,-96.8399,37592.0
75238,32.8796,-96.7037,33049.0
75422,33.1396,-95.9343,3088.0
75428,33.2643,-95.9148,11371.0
75433,33.1425,-95.7672,2808.0
75134,32.6267,-96.7629,21879.0
75226,32.7838,-96.7762,4579.0
75969,31.4253,-94.8659,3854.0
75125,32.5272,-96.6180,6326.0
75094,33.0122,-96.6189,23239.0
75227,32.7727,-96.6866,59924.0
75132,32.9411,-96.3827,1559.0
75137,32.6332,-96.9131,19548.0
75149,32.7666,-96.6233,56473.0
75150,32.8199,-96.6351,60671.0
75202,32.7799,-96.8027,2312.0
75205,32.8334,-96.7939,24877.0
75214,32.8264,-96.7453,34824.0
75251,32.9173,-96.7749,2861.0
75562,32.9468,-94.2539,104.0
75570,33.4548,-94.4500,11071.0
75601,32.5045,-94.7145,15719.0
75638,33.0388,-94.7366,5505.0
75651,32.6713,-94.5019,2100.0
75654,32.0617,-94.7845,12664.0
75704,32.3993,-95.4492,10199.0
75756,32.2950,-95.5803,4450.0
75757,32.1109,-95.3453,12802.0
75760,31.7722,-94.8694,2066.0
75765,32.6625,-95.2541,7157.0
75771,32.5338,-95.3897,21310.0
75773,32.6642,-95.4704,14523.0
75790,32.5538,-95.6672,3864.0
75831,31.4201,-96.0039,5529.0
77904,28.9593,-96.9878,28202.0
77951,28.7103,-96.8036,1809.0
77954,29.1113,-97.2515,11478.0
77973,28.5321,-96.9662,27.0
77983,28.4022,-96.6645,2045.0
77083,29.6916,-95.6512,78298.0
77367,30.8496,-95.3919,80.0
77354,30.2098,-95.6623,37058.0
77358,30.5698,-95.4269,5565.0
77363,30.3279,-95.8534,2853.0
77369,30.4596,-94.7437,555.0
77380,30.1407,-95.4724,25761.0
77401,29.7083,-95.4658,19372.0
77412,29.5915,-96.4845,44.0
77430,29.2783,-95.7070,2078.0
77433,29.9601,-95.7392,90657.0
77442,29.4308,-96.5266,996.0
77457,28.6483,-96.0440,488.0
77458,28.9533,-96.2548,210.0
77461,29.3781,-95.7510,11447.0
77467,29.2051,-96.1371,17.0
77471,29.5335,-95.8660,41212.0
77483,28.8313,-95.9395,309.0
77504,29.6461,-95.1886,24954.0
77545,29.5455,-95.4684,25226.0
77566,29.0401,-95.4806,29436.0
77575,30.0989,-94.7268,16884.0
77578,29.4747,-95.3599,22527.0
77611,29.9587,-93.8129,8578.0
76685,31.3602,-97.0108,40.0
76701,31.5513,-97.1382,1895.0
76712,31.5288,-97.2438,25525.0
76823,31.7106,-99.1499,3024.0
76859,30.8697,-99.8002,2015.0
76861,31.6046,-100.1879,1945.0
76864,31.5639,-98.7054,821.0
