,Latitude (deg),Longitude (deg),Population Estimate
78008,28.7505,-98.2547,461.0
78375,27.3653,-98.1455,2951.0
78340,28.1029,-97.2309,356.0
78371,27.4685,-98.9589,153.0
78372,27.9402,-98.0456,5971.0
78376,27.5304,-98.6038,544.0
78379,27.3099,-97.8567,1413.0
78383,28.0728,-97.9469,4296.0
77581,29.5514,-95.2835,48438.0
77583,29.4087,-95.4421,40514.0
77587,29.6607,-95.2287,16928.0
77616,30.6110,-94.1822,511.0
77624,30.6730,-94.3800,609.0
77640,29.7575,-94.0967,15706.0
77662,30.1736,-94.0074,26277.0
77665,29.7916,-94.3499,6152.0
77009,29.7923,-95.3688,36147.0
77014,29.9857,-95.4590,37488.0
77031,29.6570,-95.5497,18058.0
77034,29.6196,-95.1952,40635.0
77055,29.8049,-95.4916,44671.0
77072,29.7006,-95.5857,61122.0
77035,29.6503,-95.4786,36931.0
77041,29.8730,-95.5655,33941.0
77050,29.9028,-95.2717,4741.0
77063,29.7399,-95.5238,39249.0
77071,29.6511,-95.5224,28888.0
77074,29.6898,-95.5266,40978.0
79423,33.4613,-101.8399,40303.0
79424,33.4714,-101.9516,46933.0
79511,32.4040,-101.2787,1183.0
79517,32.8346,-101.2422,164.0
79521,33.1782,-99.6546,3611.0
79530,32.1281,-99.7484,538.0
79536,32.4692,-99.9741,5258.0
79561,32.4877,-100.1010,615.0
79043,34.3925,-102.1213,1514.0
79032,34.2765,-101.8965,98.0
79033,36.2963,-100.9843,47.0
79042,34.6898,-101.7350,1200.0
79011,35.5248,-100.1702,206.0
79012,35.2664,-102.0978,1427.0
79022,36.2629,-102.6019,11400.0
79031,34.2082,-102.4610,1377.0
79083,35.8667,-101.3546,1923.0
79239,34.6481,-100.7692,181.0
79241,34.1741,-101.3032,2270.0
75230,32.9022,-96.7945,27489.0
75236,32.6837,-96.9381,18137.0
75410,32.7816,-95.6081,4954.0
75435,33.4934,-95.3399,944.0
75437,33.1920,-95.4369,1377.0
75167,32.3765,-96.9302,12170.0
75180,32.7192,-96.6129,23941.0
75203,32.7448,-96.7956,17367.0
79316,33.1146,-102.3352,11310.0
79331,32.7426,-101.9476,12426.0
79350,33.7593,-101.8370,401.0
79357,33.6141,-101.3337,2123.0
79369,33.9256,-102.1564,93.0
79410,33.5707,-101.8965,10166.0
79416,33.6109,-101.9792,34124.0
79519,32.0521,-99.6647,41.0
79520,32.8557,-100.1570,2121.0
79529,33.4494,-99.8555,1480.0
79534,32.7893,-100.2278,125.0
79538,31.9545,-99.6581,325.0
79553,32.9513,-99.7287,3270.0
79563,32.4213,-99.8848,1074.0
79565,32.3073,-100.9802,292.0
79601,32.6133,-99.6932,27507.0
79603,32.3923,-99.8773,23454.0
79734,30.7587,-103.8642,2145.0
79743,31.1276,-102.7113,328.0
79761,31.8550,-102.3456,33602.0
79330,33.0593,-101.1881,139.0
79252,34.3311,-99.7949,2954.0
79322,33.6153,-101.1873,2022.0
79325,34.4063,-102.8889,2184.0
79353,33.7933,-102.5777,10.0
79358,33.4710,-102.1758,1109.0
79378,33.0248,-102.4658,196.0
79403,33.6781,-101.7511,17926.0
79404,33.5271,-101.7667,10094.0
79407,33.5824,-102.0376,22807.0
79412,33.5462,-101.8575,16554.0
79413,33.5464,-101.8887,21821.0
79502,33.1788,-100.2540,1305.0
79504,32.3493,-99.3151,3366.0
79505,33.5556,-99.8271,244.0
79607,32.4204,-99.8381,3308.0
79705,32.0464,-102.0306,41933.0
79706,31.8693,-102.0314,25657.0
79739,31.8692,-101.5203,1322.0
79766,31.7813,-102.3479,7694.0
75209,32.8443,-96.8332,14308.0
75215,32.7511,-96.7647,17818.0
75218,32.8376,-96.6972,22529.0
75228,32.8252,-96.6820,73976.0
75234,32.9245,-96.8970,37160.0
75237,32.6623,-96.8742,21423.0
75247,32.8193,-96.8775,792.0
75401,33.1936,-96.1280,19146.0
75402,33.0578,-96.0926,18087.0
75407,33.1454,-96.4886,17978.0
75418,33.5611,-96.2016,14571.0
75431,33.0674,-95.4018,2122.0
75450,33.4672,-95.6131,150.0
75451,32.9651,-95.0944,1163.0
75452,33.4032,-96.2063,4650.0
75471,33.0333,-95.4523,1531.0
75489,33.5243,-96.4836,1032.0
75495,33.4283,-96.5463,8729.0
75551,33.0985,-94.1595,11251.0
76630,31.3471,-97.2200,1359.0
76177,32.9591,-97.2927,11695.0
76208,33.2090,-97.0565,24621.0
76041,32.2425,-96.8645,395.0
76082,32.9737,-97.7200,20194.0
76133,32.6586,-97.3856,51505.0
76258,33.3750,-96.9260,7010.0
76008,32.6888,-97.6424,19338.0
76006,32.7886,-97.0930,24684.0
76011,32.7561,-97.0770,22622.0
76021,32.8525,-97.1341,35794.0
76039,32.8593,-97.0781,36087.0
76043,32.2021,-97.7741,7440.0
76052,32.9822,-97.3845,22290.0
76092,32.9516,-97.1510,31424.0
76102,32.7586,-97.3326,9282.0
76107,32.7431,-97.3780,30168.0
76131,32.8815,-97.3530,43542.0
76140,32.6193,-97.2670,30723.0
76155,32.8175,-97.0525,5813.0
76234,33.2808,-97.5186,16630.0
76259,33.2056,-97.2927,6045.0
76262,33.0107,-97.2163,39425.0
76273,33.7655,-96.8948,9806.0
76458,33.2649,-98.1698,6111.0
76033,32.2848,-97.5538,26081.0
76085,32.8381,-97.6917,11014.0
76129,32.7094,-97.3629,2519.0
76164,32.7784,-97.3574,15488.0
76182,32.8827,-97.2098,31046.0
76209,33.2333,-97.1110,25689.0
76210,33.1451,-97.0886,45474.0
76244,32.9347,-97.2515,77496.0
75208,32.7515,-96.8387,29706.0
75219,32.8054,-96.8142,25120.0
75232,32.6577,-96.8392,31453.0
75233,32.7083,-96.8742,17280.0
75248,32.9689,-96.7984,37373.0
75270,32.7813,-96.8020,0.0
75412,33.8385,-95.1108,457.0
75420,33.1194,-95.7358,1052.0
75424,33.3154,-96.3935,3024.0
75432,33.3937,-95.5382,3504.0
75442,33.1699,-96.3404,9308.0
75460,33.5788,-95.5262,23504.0
75470,33.6103,-95.7826,323.0
75476,33.6957,-96.1408,1056.0
75482,33.1657,-95.5296,24984.0
75044,32.9579,-96.6452,43292.0
75662,32.3831,-94.8676,24976.0
75701,32.3213,-95.2908,35858.0
75709,32.3079,-95.3963,4731.0
79547,33.1869,-99.8985,642.0
79102,35.2016,-101.8446,9878.0
79830,29.9112,-103.4604,7860.0
79837,31.8705,-105.4756,322.0
79839,31.4425,-105.6732,2141.0
79845,29.6372,-104.2022,4384.0
79854,30.7494,-104.5408,90.0
79934,31.9397,-106.4198,26445.0
79938,31.8552,-106.0284,84237.0
79411,33.5706,-101.8575,7012.0
79506,32.1489,-100.3444,626.0
79838,31.4733,-106.1586,6171.0
79852,29.3315,-103.5922,709.0
79905,31.7677,-106.4304,21599.0
79906,31.8134,-106.3858,5295.0
79935,31.7696,-106.3321,17850.0
79936,31.7541,-106.2958,111620.0
76263,33.4974,-97.4204,46.0
76402,32.2160,-98.2239,953.0
76508,31.0982,-97.3427,7.0
76573,30.8154,-97.5146,29.0
76596,31.4300,-97.7368,1250.0
76597,31.4351,-97.7439,2657.0
76598,31.4351,-97.7439,479.0
76599,31.4351,-97.7439,2339.0
76623,32.2046,-96.7892,259.0
76650,31.9908,-96.8709,186.0
76654,31.7308,-97.0155,139.0
76820,30.7964,-99.0376,88.0
76836,31.4172,-99.5368,0.0
76908,31.4329,-100.4065,2554.0
76939,31.2667,-100.6244,0.0
76957,31.3535,-100.2007,134.0
76360,34.0215,-99.0205,3545.0
76372,33.1790,-98.7995,1166.0
76374,33.3342,-98.6873,3858.0
76427,33.1513,-98.3314,859.0
76429,32.7078,-98.7121,133.0
76501,31.0774,-97.2310,16710.0
76502,31.1017,-97.4071,42103.0
76261,33.8087,-97.9389,285.0
76228,33.6411,-98.2005,994.0
76248,32.9313,-97.2498,39665.0
77702,30.0871,-94.1269,3225.0
77705,29.9180,-94.1832,39236.0
77706,30.1032,-94.1739,29474.0
77802,30.6604,-96.3233,25621.0
77836,30.5252,-96.6919,12077.0
77856,31.0995,-96.4262,5246.0
77879,30.4272,-96.4985,5621.0
77961,28.8652,-96.3618,178.0
77962,29.0508,-96.4403,3654.0
77968,28.8903,-96.8036,3214.0
77971,28.7896,-96.4500,792.0
77982,28.4310,-96.4492,884.0
77086,29.9218,-95.4946,28636.0
77464,29.5942,-95.9726,99.0
77493,29.8574,-95.8325,36334.0
77494,29.7402,-95.8302,118291.0
77872,30.9311,-96.0990,1879.0
77964,29.3812,-96.8133,8395.0
77970,28.8381,-96.4134,429.0
77974,28.8992,-97.2870,314.0
77977,28.6897,-96.8223,544.0
77984,29.4209,-97.1472,3972.0
77991,28.8068,-96.6042,397.0
77994,29.1588,-97.4959,354.0
77015,29.7676,-95.1588,56477.0
77022,29.8300,-95.3764,27924.0
75755,32.6316,-95.0929,5178.0
75048,32.9682,-96.5820,25598.0
75068,33.1740,-96.9501,65991.0
75070,33.1709,-96.6925,104415.0
75087,32.9389,-96.4454,35157.0
75092,33.6275,-96.7193,24905.0
75115,32.6041,-96.8654,52916.0
75127,32.6812,-95.7597,1705.0
75142,32.5616,-96.2649,19261.0
75155,32.2063,-96.4303,3233.0
75164,33.0600,-96.3248,633.0
75454,33.2841,-96.5497,10467.0
75455,33.2348,-94.9462,28354.0
75478,33.2092,-95.3747,1120.0
75481,33.3289,-95.3631,314.0
75488,33.8098,-96.0162,645.0
75494,32.8674,-95.2578,9940.0
75497,32.8953,-95.5269,3907.0
75554,33.4942,-94.8220,2131.0
75556,33.1330,-94.0786,1214.0
75566,33.1956,-94.5276,756.0
75567,33.3305,-94.3046,4824.0
75641,32.3855,-94.5535,89.0
76865,31.8692,-100.1311,151.0
76877,31.0940,-98.7535,4371.0
76945,31.8899,-100.6116,1798.0
76951,31.8065,-101.0448,1231.0
76656,31.1785,-97.0689,2446.0
76681,31.8828,-96.4519,801.0
76661,31.3186,-96.8578,7755.0
76666,32.0216,-96.9081,268.0
76676,31.8485,-96.9318,281.0
76678,31.6697,-96.7758,260.0
76686,31.7573,-96.5431,195.0
76001,32.6291,-97.1547,33748.0
76010,32.7245,-97.0794,60097.0
76014,32.6922,-97.0890,35096.0
76018,32.6610,-97.0859,31200.0
76044,32.4359,-97.5358,4401.0
76064,32.3121,-97.0231,1818.0
76520,30.8206,-96.9189,7722.0
76522,31.2634,-98.0878,36560.0
76531,31.6831,-98.0910,4728.0
76534,30.8859,-97.3588,3046.0
76543,31.1094,-97.6700,30268.0
76548,31.0535,-97.6397,30510.0
76621,31.8850,-97.0936,867.0
76628,32.0548,-96.9756,54.0
76643,31.4568,-97.1873,14523.0
76648,31.8401,-96.8092,2887.0
76657,31.4343,-97.4034,10108.0
76012,32.7641,-97.1469,25719.0
76013,32.7220,-97.1623,34203.0
76017,32.6620,-97.1692,47499.0
76020,32.9080,-97.5806,29131.0
76054,32.8638,-97.1765,12280.0
76059,32.3908,-97.3339,5601.0
76457,32.0835,-98.0594,4013.0
76436,31.8781,-98.2440,227.0
76448,32.4018,-98.7784,5196.0
76452,31.7633,-98.3998,99.0
76471,32.1413,-98.9721,1785.0
76487,32.9691,-97.8880,3058.0
76524,31.2653,-97.2274,3042.0
76541,31.1131,-97.7286,17691.0
76554,30.9747,-97.3666,2380.0
76556,30.7265,-96.7939,1494.0
76887,30.9932,-99.1572,82.0
76934,31.6147,-100.7311,1084.0
76950,30.4989,-100.5385,3867.0
76071,33.0115,-97.4829,4589.0
76105,32.7248,-97.2673,22179.0
76110,32.7103,-97.3367,31926.0
77026,29.7964,-95.3269,21300.0
77027,29.7463,-95.4475,18323.0
77047,29.6143,-95.3910,32616.0
77005,29.7174,-95.4187,28572.0
77007,29.7704,-95.4106,40080.0
77017,29.6823,-95.2572,32985.0
77019,29.7525,-95.4117,22057.0
77378,30.4545,-95.3829,17616.0
77356,30.4505,-95.7048,26987.0
77357,30.1501,-95.1811,27721.0
77359,30.6993,-95.2984,425.0
77382,30.1994,-95.5350,41581.0
77396,29.9491,-95.2690,58396.0
77419,28.8435,-96.2328,1253.0
77428,28.7171,-96.1436,0.0
77432,29.0817,-96.1796,47.0
77435,29.4827,-96.1645,4031.0
77441,29.6819,-95.9203,12559.0
77447,30.0467,-95.8214,16246.0
77025,29.6799,-95.4311,28540.0
77038,29.9200,-95.4424,31912.0
77039,29.9108,-95.3379,28877.0
77040,29.8681,-95.5359,47823.0
77057,29.7483,-95.4889,41690.0
77060,29.9340,-95.3960,45642.0
77067,29.9519,-95.4475,35227.0
77068,30.0062,-95.4879,11011.0
77077,29.7550,-95.6095,59588.0
77303,30.3811,-95.3747,20655.0
77335,30.6019,-94.9314,2972.0
77368,30.4359,-94.8222,223.0
77381,30.1772,-95.4967,36160.0
77385,30.1930,-95.4160,25160.0
78666,29.8785,-98.0200,82923.0
78671,30.2121,-98.6366,706.0
78675,30.4463,-98.6639,314.0
78676,30.0391,-98.1214,13124.0
78717,30.4937,-97.7680,30657.0
78737,30.1756,-97.9590,17173.0
78747,30.1207,-97.7544,21021.0
78749,30.2071,-97.8606,38041.0
78757,30.3532,-97.7337,25706.0
78836,28.3598,-99.5860,228.0
78220,29.4172,-98.3901,16700.0
78224,29.3128,-98.5331,22851.0
78229,29.5079,-98.5749,34125.0
78264,29.1976,-98.4942,10623.0
78336,27.9351,-97.1659,11214.0
78352,27.9929,-97.6898,485.0
78368,28.0729,-97.7728,9460.0
78384,27.8568,-98.3636,5739.0
78412,27.7006,-97.3374,41977.0
78413,27.6822,-97.4032,40644.0
78538,26.3090,-97.9592,11137.0
78539,26.2791,-98.1446,37380.0
78550,26.2456,-97.6800,52644.0
78575,26.0250,-97.5490,12215.0
78589,26.1638,-98.1571,41291.0
78606,30.0991,-98.4121,5547.0
78065,29.0758,-98.6499,11130.0
78045,27.6821,-99.6384,66685.0
78052,29.2204,-98.7884,6769.0
78064,28.9715,-98.4042,16186.0
78108,29.5672,-98.2232,39999.0
78130,29.7010,-98.0767,77400.0
78146,28.6194,-97.8445,637.0
78015,29.7323,-98.6586,15811.0
78019,28.1561,-99.0981,1253.0
78022,28.2271,-98.1000,4033.0
78026,28.8073,-98.5041,6452.0
78027,29.9717,-98.4935,381.0
78040,27.5085,-99.5036,40939.0
79903,31.7869,-106.4454,15995.0
79912,31.8548,-106.5330,78267.0
79915,31.7452,-106.3833,36412.0
79927,31.6510,-106.2745,40747.0
79932,31.8780,-106.6081,28243.0
76707,31.5533,-97.1599,15688.0
76827,31.5312,-99.1021,418.0
76831,30.7128,-98.9190,0.0
76834,31.8474,-99.4473,5310.0
76837,31.2661,-99.8584,2440.0
76845,31.5394,-99.4487,288.0
76856,30.7196,-99.2241,3735.0
76858,31.1536,-99.5837,292.0
76009,32.4315,-97.1975,20417.0
76031,32.3572,-97.3298,17668.0
76036,32.5803,-97.4160,27056.0
76302,33.8680,-98.4735,13482.0
76308,33.8549,-98.5336,19493.0
76370,33.4467,-98.8991,232.0
76380,33.5904,-99.2405,3630.0
76424,32.7360,-98.8358,8721.0
76442,31.8951,-98.6576,7909.0
76444,32.1548,-98.6572,3339.0
76445,32.2945,-98.5596,292.0
76449,32.8925,-98.3330,2430.0
76450,33.0568,-98.6870,13112.0
76462,32.5279,-98.0166,3762.0
76464,32.5781,-99.1801,505.0
76476,32.3822,-97.9089,2628.0
76511,30.8049,-97.4282,2505.0
78614,29.4201,-97.5741,599.0
78617,30.1439,-97.5939,28930.0
78631,30.3171,-99.1662,2964.0
78635,30.1835,-98.5311,564.0
78656,29.8958,-97.8197,2416.0
78663,30.4310,-98.3633,873.0
75252,32.9957,-96.7859,26867.0
75253,32.6701,-96.6186,23900.0
75287,33.0020,-96.8431,55673.0
75409,33.3399,-96.5277,16349.0
75411,33.8634,-95.4270,889.0
75416,33.7250,-95.3926,3070.0
75441,33.4290,-95.6518,128.0
75446,33.6402,-95.9245,3178.0
75447,33.6782,-96.1660,1256.0
75462,33.6647,-95.4765,11641.0
75469,33.4077,-95.7945,275.0
75473,33.8006,-95.4990,3688.0
79821,31.9683,-106.6014,7136.0
79836,31.5049,-106.1174,5891.0
79041,34.0795,-101.9271,2754.0
79045,34.9666,-102.6054,18847.0
79052,34.4234,-101.7349,1318.0
79922,31.8037,-106.5558,7932.0
79924,31.8997,-106.4338,59648.0
79021,33.9753,-102.0314,183.0
79051,36.4774,-102.2601,0.0
79054,35.4548,-100.7606,676.0
79063,34.5533,-102.1107,768.0
79065,35.3710,-100.8126,20606.0
79072,34.1672,-101.8274,26629.0
79079,35.2914,-100.2697,2617.0
79086,35.8737,-101.7892,2228.0
79103,35.1714,-101.8013,10869.0
79104,35.2062,-101.7873,7019.0
79345,33.3216,-102.3354,990.0
79518,33.3542,-100.6838,48.0
79560,32.6993,-100.1969,172.0
79735,30.6055,-102.8665,13915.0
79081,36.2718,-101.2759,3918.0
79098,35.2237,-102.2654,484.0
79108,35.4189,-101.7700,16112.0
79780,31.0428,-103.6364,173.0
79901,31.7630,-106.4856,9590.0
79707,32.0066,-102.1859,39921.0
79762,31.9234,-102.3412,43812.0
79092,35.4062,-102.4592,1148.0
79016,34.9921,-101.9139,147.0
79058,35.5692,-101.8329,0.0
79085,34.7115,-102.4838,18.0
79094,34.8185,-101.5206,14.0
79105,35.2218,-101.8309,0.0
79258,34.2233,-101.3098,49.0
76841,30.8390,-100.0577,19.0
76844,31.4152,-98.6269,3534.0
76874,30.5078,-100.1032,0.0
76875,31.6436,-99.9343,525.0
76878,31.6404,-99.3142,1688.0
76935,31.1733,-100.5170,1791.0
76941,31.3047,-100.9803,1455.0
76955,31.2160,-100.2439,192.0
76226,33.1151,-97.1625,26761.0
76227,33.2741,-96.9865,34036.0
76651,32.1786,-96.8737,3250.0
76680,31.2486,-96.7670,279.0
76060,32.6381,-97.2093,8468.0
76148,32.8673,-97.2535,23993.0
76305,34.0192,-98.4525,4261.0
76306,33.9517,-98.5134,14980.0
76365,33.8105,-98.2002,4688.0
76367,33.9916,-98.7198,14247.0
76373,34.1543,-99.1198,153.0
76388,33.3160,-99.5993,235.0
76401,32.2320,-98.2133,30003.0
76435,32.2226,-98.8327,512.0
76455,31.8296,-98.3715,1009.0
76472,32.6026,-98.2001,1761.0
76484,32.7547,-98.2933,916.0
76022,32.8309,-97.1439,13495.0
76073,33.0969,-97.7334,5656.0
76655,31.4016,-97.1948,8312.0
76798,31.5468,-97.1202,1591.0
76885,30.8310,-98.8289,216.0
76903,31.4711,-100.4319,31248.0
76379,33.6401,-98.5027,590.0
76070,32.2474,-97.6411,895.0
76126,32.6400,-97.5448,23450.0
77384,30.2289,-95.5015,19467.0
77423,29.8271,-96.0036,12377.0
77568,29.3620,-94.9798,15680.0
77514,29.7072,-94.5715,5127.0
77573,29.5116,-95.0871,88131.0
77585,30.3613,-94.5796,986.0
77613,30.0109,-94.3630,1097.0
77615,30.3129,-94.0731,1084.0
77627,29.9885,-94.0030,21698.0
77630,30.0560,-93.8676,28925.0
77663,30.5196,-94.4129,1014.0
77707,30.0530,-94.1776,18335.0
77801,30.6393,-96.3610,15068.0
77443,29.3502,-96.1734,300.0
77003,29.7488,-95.3438,9707.0
77351,30.6990,-94.8470,34366.0
77372,30.2369,-95.1826,14116.0
75479,33.6007,-96.3194,1786.0
75486,33.7850,-95.6886,2291.0
75496,33.3215,-96.0550,3739.0
75550,33.5037,-94.8950,681.0
75560,33.2050,-94.3549,1002.0
75574,33.4887,-94.5772,1659.0
75631,32.2704,-94.4436,3248.0
75077,33.0789,-97.0776,37102.0
75569,33.4433,-94.1319,3464.0
75573,33.3490,-94.2647,115.0
75966,30.8576,-93.7272,4920.0
75643,32.0250,-94.2124,2253.0
75681,31.9358,-94.6431,2128.0
75683,32.8087,-94.7292,3709.0
75691,32.3179,-94.5620,4320.0
75785,31.7736,-95.1863,11357.0
75791,32.2125,-95.2240,13562.0
75833,31.2625,-95.8783,2944.0
75835,31.2533,-95.4940,11086.0
75861,31.8787,-95.9145,9126.0
75925,31.6477,-95.0887,4002.0
75936,30.9516,-94.4240,1128.0
75943,31.6512,-94.8629,1442.0
75788,31.8248,-94.9155,23.0
75838,31.4830,-96.2300,639.0
75847,31.3429,-95.1067,1843.0
75852,30.9819,-95.7545,4017.0
75862,31.0001,-95.3689,10176.0
75926,31.2803,-94.9682,1151.0
75939,31.0200,-94.7782,5260.0
75946,31.8150,-94.5221,3744.0
75968,31.2156,-93.9739,1635.0
75062,32.8494,-96.9750,49306.0
75069,33.1809,-96.5943,37892.0
75098,33.0230,-96.5389,56376.0
75105,32.2618,-96.3759,161.0
75141,32.6366,-96.6790,5782.0
75147,32.4316,-96.1196,6636.0
75154,32.5209,-96.8033,40947.0
75158,32.4635,-96.3956,4191.0
75223,32.7938,-96.7473,14941.0
75225,32.8635,-96.7917,21736.0
75229,32.8929,-96.8641,32322.0
75235,32.8313,-96.8460,18429.0
75241,32.6646,-96.7564,31562.0
75244,32.9303,-96.8353,13254.0
75415,33.4732,-95.7794,240.0
76251,33.6587,-97.7295,779.0
76268,33.6153,-96.7618,232.0
76311,33.9847,-98.5039,8987.0
76364,34.1079,-99.0788,174.0
76366,33.6154,-98.7174,1903.0
76088,32.8494,-97.9024,11907.0
76103,32.7557,-97.2730,15486.0
76119,32.6943,-97.2580,52070.0
76127,32.7766,-97.4293,1946.0
76357,34.0882,-98.1559,569.0
76238,33.4850,-97.3149,324.0
76247,33.0870,-97.3140,13601.0
76265,33.7445,-97.5413,1472.0
76426,33.1606,-97.7983,12351.0
76437,32.3632,-99.0414,5818.0
76538,31.5733,-97.8778,1025.0
76544,31.2377,-97.6898,23834.0
76569,30.9578,-97.2316,2681.0
76578,30.5287,-97.2377,1482.0
76624,31.6742,-96.9592,2015.0
76627,32.1021,-97.3725,1511.0
76634,31.7915,-97.5137,7431.0
76639,31.8793,-96.6654,1318.0
76652,32.1156,-97.5919,1349.0
79699,32.4702,-99.7084,115.0
79770,31.8285,-103.9136,0.0
79911,31.7589,-106.4866,5794.0
79916,31.9005,-106.2163,2979.0
79920,31.8212,-106.4608,8.0
79928,31.6609,-106.1393,57219.0
79942,31.7589,-106.4866,30.0
79040,36.2860,-101.3545,1962.0
79018,35.8390,-102.6022,307.0
79744,30.9100,-102.1030,1255.0
79846,29.4706,-104.0044,121.0
79718,30.9928,-103.6608,1169.0
79834,29.3635,-103.2121,233.0
79061,35.5041,-100.4145,375.0
79095,34.9649,-100.2707,2657.0
79925,31.7908,-106.3769,39616.0
79525,32.6348,-99.8380,2498.0
79528,33.2634,-100.6120,587.0
79533,32.8186,-99.6246,385.0
79539,33.3562,-99.8547,223.0
79543,32.6977,-100.4522,1298.0
79545,32.4073,-100.5026,1774.0
79549,32.9621,-100.8460,15943.0
79556,32.4544,-100.3346,12833.0
79562,32.2027,-99.9291,3371.0
79566,32.0573,-100.1287,247.0
79714,32.3046,-102.6378,18036.0
79741,31.8692,-102.6280,222.0
79763,31.7588,-102.5561,38833.0
79777,31.5622,-103.3567,293.0
77374,30.3764,-94.6361,536.0
77375,30.0918,-95.5904,55759.0
77376,30.4334,-94.6805,569.0
77414,28.9181,-95.8348,23982.0
77415,28.9236,-95.7249,88.0
77418,29.9832,-96.2709,10537.0
77440,28.8445,-96.0664,27.0
77808,30.8110,-96.3453,12013.0
75661,32.6395,-94.1674,3094.0
75668,32.9307,-94.7049,2371.0
75669,32.0342,-94.5072,762.0
75693,32.5372,-94.8596,7076.0
75703,32.2301,-95.3415,42777.0
75705,32.3480,-95.1321,2762.0
75707,32.2868,-95.1748,14232.0
75758,32.2532,-95.5535,8739.0
75472,32.8727,-95.8830,4087.0
75491,33.4868,-96.4102,5064.0
75501,33.3672,-94.2356,36094.0
75571,33.2231,-94.7697,3134.0
75603,32.4070,-94.6849,6100.0
75652,32.2572,-94.7384,16223.0
75686,32.9843,-94.9275,13184.0
75706,32.4593,-95.3197,10449.0
75766,31.9761,-95.2858,26925.0
75789,32.0538,-95.1509,7806.0
75845,31.0330,-95.0752,2926.0
75850,31.1415,-95.8959,796.0
75855,31.5123,-95.8370,3078.0
75930,31.3616,-93.9624,1779.0
75944,31.3615,-94.4068,1100.0
75964,31.6474,-94.7740,19811.0
75977,31.0672,-93.8053,291.0
75980,31.1410,-94.3184,2254.0
75764,31.8884,-95.1506,187.0
75840,31.8131,-96.1050,6340.0
75853,31.9459,-95.7709,466.0
75859,31.8866,-96.2357,2134.0
75933,30.5199,-93.8048,1158.0
75934,30.8999,-94.7547,219.0
75941,31.1749,-94.7506,8465.0
75961,31.5731,-94.4851,16004.0
75972,31.5182,-94.1914,6169.0
75074,33.0388,-96.6709,52259.0
75088,32.8933,-96.5491,26039.0
75089,32.9352,-96.5508,36324.0
75101,32.2731,-96.7022,517.0
77088,29.8814,-95.4544,55734.0
77090,30.0018,-95.4474,40761.0
77098,29.7344,-95.4159,13818.0
77326,30.5077,-94.8180,37.0
77327,30.2979,-94.9051,23274.0
77334,30.7855,-95.3653,358.0
77304,30.3218,-95.5222,33364.0
77306,30.2671,-95.3167,13569.0
77331,30.6038,-95.1475,7971.0
77011,29.7418,-95.3094,17447.0
77012,29.7237,-95.2592,19597.0
77013,29.7975,-95.2422,19198.0
76430,32.7549,-99.3370,2288.0
77530,29.7869,-95.1092,33437.0
77550,29.3068,-94.7719,21863.0
77571,29.6830,-95.0482,37427.0
77584,29.5428,-95.3457,90372.0
77614,30.3411,-93.8021,265.0
77623,29.5603,-94.4222,648.0
77625,30.3544,-94.4114,9761.0
77650,29.4799,-94.5758,1835.0
77656,30.3842,-94.1709,16524.0
77659,30.1781,-94.4458,5326.0
77855,31.1439,-96.1346,224.0
77865,31.2474,-96.2243,2440.0
76679,31.9282,-96.5893,1435.0
76802,31.7789,-98.9045,5251.0
76828,31.9980,-99.3104,240.0
76849,30.4987,-99.7095,3785.0
76852,31.3439,-99.4511,268.0
76866,31.4294,-99.8423,537.0
76002,32.6206,-97.0916,36460.0
76016,32.6909,-97.1915,32026.0
76023,33.0513,-97.6090,6909.0
76035,32.5574,-97.6454,2211.0
76049,32.4561,-97.7186,29698.0
76051,32.9353,-97.0687,53291.0
76055,32.1520,-97.1395,2811.0
76063,32.5679,-97.1305,73216.0
76066,32.7041,-98.0026,2621.0
76086,32.7530,-97.7831,23699.0
76087,32.6732,-97.8190,27760.0
76115,32.6820,-97.3306,21319.0
76123,32.6205,-97.3872,36245.0
76135,32.8325,-97.4689,21973.0
76201,33.2192,-97.1499,28601.0
76207,33.2150,-97.1677,14588.0
76252,33.6983,-97.3568,2624.0
76264,33.7515,-96.8325,1513.0
76309,33.8963,-98.5398,12991.0
76310,33.7877,-98.5322,19187.0
76363,33.4998,-99.5347,534.0
76453,32.6255,-98.3459,1295.0
76469,32.3904,-99.2317,93.0
76470,32.4807,-98.6594,3580.0
76481,33.0207,-98.7254,189.0
76523,30.7812,-97.1650,0.0
76525,31.4857,-98.1573,1098.0
76528,31.4139,-97.7776,17284.0
76301,33.9014,-98.4822,14757.0
76882,31.8096,-99.6939,214.0
76631,31.9853,-96.9549,692.0
76635,31.7353,-96.7072,1290.0
76638,31.5441,-97.4486,2910.0
76673,31.7621,-96.9052,1706.0
78041,27.5706,-99.4263,47753.0
78056,29.5419,-98.9192,2138.0
78059,29.1931,-98.8462,5545.0
78071,28.5265,-98.1439,4372.0
78107,28.5426,-97.6248,269.0
78112,29.2019,-98.3591,8617.0
78114,29.1273,-98.1977,24009.0
78118,28.8513,-97.9596,4264.0
78124,29.5484,-98.1434,6913.0
78142,28.5303,-97.7894,166.0
78159,29.2339,-97.5885,1196.0
78145,28.6526,-97.9921,116.0
78147,29.0263,-98.1092,2035.0
78151,28.8706,-97.6906,1662.0
78214,29.3292,-98.4743,27558.0
78244,29.4776,-98.3466,30981.0
78252,29.3401,-98.7146,12009.0
78344,27.4016,-98.8686,436.0
